# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Pacuta_ATAC_TP7_1047,Pacuta_ATHC_TP5_1296,729250,729250,729250,710225.500000,97.390000,NA
Pacuta_ATHC_TP5_1296,Pacuta_HTHC_TP5_1168,729250,729250,729250,710125.500000,97.380000,NA
Pacuta_ATHC_TP5_1296,Pacuta_ATHC_TP8_2861,729250,729250,729250,710158.000000,97.380000,NA
Pacuta_ATHC_TP3_1219,Pacuta_ATHC_TP6_2999,729250,729250,729250,710144.000000,97.380000,NA
Pacuta_ATHC_TP1_1207,Pacuta_ATHC_TP5_1296,729250,729250,729250,710173.000000,97.380000,NA
Pacuta_ATHC_TP9_2979,Pacuta_HTAC_TP7_1487,729250,729250,729250,710103.500000,97.370000,NA
Pacuta_ATHC_TP10_2197,Pacuta_HTHC_TP11_1416,729250,729250,729250,710060.000000,97.370000,NA
Pacuta_ATAC_TP8_1755,Pacuta_ATHC_TP5_2212,729250,729250,729250,710057.500000,97.370000,NA
Pacuta_ATHC_TP6_2999,Pacuta_HTHC_TP3_2527,729250,729250,729250,710028.000000,97.360000,NA
Pacuta_ATHC_TP3_1219,Pacuta_HTHC_TP3_2527,729250,729250,729250,710028.000000,97.360000,NA
Pacuta_ATAC_TP6_1468,Pacuta_ATAC_TP8_1755,729250,729250,729250,709964.500000,97.360000,NA
Pacuta_ATHC_TP5_2212,Pacuta_HTAC_TP9_1302,729250,729250,729250,709935.500000,97.350000,NA
Pacuta_ATHC_TP10_2197,Pacuta_ATHC_TP9_2979,729250,729250,729250,709948.000000,97.350000,NA
Pacuta_ATAC_TP8_1755,Pacuta_HTAC_TP6_1744,729250,729250,729250,709879.500000,97.340000,NA
Pacuta_ATAC_TP6_1468,Pacuta_HTAC_TP9_1302,729250,729250,729250,709839.000000,97.340000,NA
Pacuta_ATAC_TP6_1050,Pacuta_ATHC_TP5_1296,729250,729250,729250,709842.000000,97.340000,NA
