ind1	ind2	match_perc
Mcapitata_HTHC_TP8_1082	Mcapitata_HTHC_TP5_1694	86.130000
Mcapitata_HTHC_TP3_1277	Mcapitata_HTHC_TP6_1604	86.130000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTHC_TP3_1277	86.130000
Mcapitata_HTAC_TP1_1579	Mcapitata_HTHC_TP6_1604	86.130000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTAC_TP1_1579	86.130000
Mcapitata_ATHC_TP8_2735	Mcapitata_HTAC_TP1_2153	86.130000
Mcapitata_HTAC_TP1_2153	Mcapitata_ATHC_TP8_2735	86.130000
Mcapitata_ATHC_TP7_2860	Mcapitata_HTAC_TP5_1321	86.130000
Mcapitata_HTAC_TP5_1321	Mcapitata_ATHC_TP7_2860	86.130000
Mcapitata_ATHC_TP5_1706	Mcapitata_HTHC_TP6_1604	86.130000
Mcapitata_HTHC_TP6_1604	Mcapitata_ATHC_TP5_1706	86.130000
Mcapitata_ATHC_TP10_1204	Mcapitata_HTAC_TP7_1645	86.130000
Mcapitata_HTAC_TP7_1645	Mcapitata_ATHC_TP10_1204	86.130000
Mcapitata_ATAC_TP5_1610	Mcapitata_HTAC_TP4_1481	86.130000
Mcapitata_HTAC_TP4_1481	Mcapitata_ATAC_TP5_1610	86.130000
Mcapitata_ATAC_TP5_1610	Mcapitata_ATAC_TP7_1499	86.130000
Mcapitata_ATAC_TP7_1499	Mcapitata_ATAC_TP5_1610	86.130000
Mcapitata_ATAC_TP3_1101	Mcapitata_HTHC_TP12_2190	86.130000
Mcapitata_HTHC_TP12_2190	Mcapitata_ATAC_TP3_1101	86.130000
Mcapitata_ATAC_TP1_1652	Mcapitata_HTHC_TP1_1145	86.130000
Mcapitata_HTHC_TP1_1145	Mcapitata_ATAC_TP1_1652	86.130000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTHC_TP8_2067	86.120000
Mcapitata_HTHC_TP8_2067	Mcapitata_HTHC_TP6_1604	86.120000
Mcapitata_HTHC_TP12_2190	Mcapitata_HTHC_TP4_1328	86.120000
Mcapitata_HTHC_TP4_1328	Mcapitata_HTHC_TP12_2190	86.120000
Mcapitata_HTAC_TP5_1997	Mcapitata_HTHC_TP6_1604	86.120000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTAC_TP5_1997	86.120000
Mcapitata_HTAC_TP5_1321	Mcapitata_HTHC_TP11_2511	86.120000
Mcapitata_HTHC_TP11_2511	Mcapitata_HTAC_TP5_1321	86.120000
Mcapitata_HTAC_TP4_1481	Mcapitata_HTHC_TP6_1604	86.120000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTAC_TP4_1481	86.120000
Mcapitata_ATAC_TP5_1610	Mcapitata_HTHC_TP3_1128	86.120000
Mcapitata_HTHC_TP3_1128	Mcapitata_ATAC_TP5_1610	86.120000
Mcapitata_ATAC_TP12_1452	Mcapitata_ATAC_TP1_1037	86.120000
Mcapitata_ATAC_TP1_1037	Mcapitata_ATAC_TP12_1452	86.120000
Mcapitata_ATAC_TP10_1561	Mcapitata_HTAC_TP5_1321	86.120000
Mcapitata_HTAC_TP5_1321	Mcapitata_ATAC_TP10_1561	86.120000
Mcapitata_ATHC_TP9_2862	Mcapitata_HTAC_TP5_1321	86.110000
Mcapitata_HTAC_TP5_1321	Mcapitata_ATHC_TP9_2862	86.110000
Mcapitata_ATHC_TP8_1260	Mcapitata_HTHC_TP10_1689	86.110000
Mcapitata_HTHC_TP10_1689	Mcapitata_ATHC_TP8_1260	86.110000
