# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Mcapitata_ATAC_TP5_1610,Mcapitata_HTHC_TP3_1128,515952,515952,515952,444332.000000,86.120000,NA
Mcapitata_ATAC_TP12_1452,Mcapitata_ATAC_TP1_1037,515952,515952,515952,444313.000000,86.120000,NA
Mcapitata_ATAC_TP10_1561,Mcapitata_HTAC_TP5_1321,515952,515952,515952,444335.000000,86.120000,NA
Mcapitata_ATHC_TP9_2862,Mcapitata_HTAC_TP5_1321,515952,515952,515952,444260.500000,86.110000,NA
Mcapitata_ATHC_TP8_1260,Mcapitata_HTHC_TP10_1689,515952,515952,515952,444300.000000,86.110000,NA
Mcapitata_ATHC_TP7_2860,Mcapitata_ATHC_TP9_2862,515952,515952,515952,444305.500000,86.110000,NA
Mcapitata_ATHC_TP10_2737,Mcapitata_HTAC_TP4_2000,515952,515952,515952,444271.500000,86.110000,NA
Mcapitata_ATAC_TP6_2402,Mcapitata_HTHC_TP9_1078,515952,515952,515952,444269.000000,86.110000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_HTAC_TP12_1729,515952,515952,515952,444301.000000,86.110000,NA
Mcapitata_ATAC_TP4_1108,Mcapitata_ATHC_TP6_2555,515952,515952,515952,444281.500000,86.110000,NA
Mcapitata_ATAC_TP3_1548,Mcapitata_HTHC_TP10_1074,515952,515952,515952,444271.000000,86.110000,NA
Mcapitata_HTHC_TP3_1277,Mcapitata_HTHC_TP9_1078,515952,515952,515952,444209.000000,86.100000,NA
Mcapitata_HTAC_TP4_1481,Mcapitata_HTHC_TP12_2190,515952,515952,515952,444235.500000,86.100000,NA
Mcapitata_ATHC_TP8_2753,Mcapitata_HTHC_TP1_1145,515952,515952,515952,444244.000000,86.100000,NA
Mcapitata_ATHC_TP5_2986,Mcapitata_HTAC_TP7_1645,515952,515952,515952,444216.000000,86.100000,NA
Mcapitata_ATHC_TP1_1218,Mcapitata_ATHC_TP9_2995,515952,515952,515952,444242.500000,86.100000,NA
Mcapitata_ATAC_TP8_1779,Mcapitata_HTAC_TP5_1321,515952,515952,515952,444256.500000,86.100000,NA
Mcapitata_ATAC_TP5_1196,Mcapitata_ATAC_TP5_1610,515952,515952,515952,444213.500000,86.100000,NA
Mcapitata_ATAC_TP3_1101,Mcapitata_ATAC_TP5_1610,515952,515952,515952,444220.000000,86.100000,NA
Mcapitata_HTHC_TP1_1145,Mcapitata_HTHC_TP4_1328,515952,515952,515952,444162.500000,86.090000,NA
Mcapitata_ATHC_TP7_1223,Mcapitata_HTAC_TP7_1278,515952,515952,515952,444186.000000,86.090000,NA
Mcapitata_ATHC_TP6_1212,Mcapitata_HTHC_TP1_1145,515952,515952,515952,444186.000000,86.090000,NA
Mcapitata_ATHC_TP5_1706,Mcapitata_ATHC_TP5_2986,515952,515952,515952,444195.000000,86.090000,NA
